Access to Water (WATSUP) - Percentage of population with access to improved drinking water source,,,,,,,,,,,,,,,,,,,,,,
"Source: WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation, 2013.",,,,,,,,,,,,,,,,,,,,,,
Notes: NA = Not Applicable,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,NA,4.8285789,4.8548818,4.8813617,4.9081378,4.9351739,8.3610273,11.7935712,15.2330262,18.6794465,22.1329811,25.5935358,29.0613929,32.5365842,36.019282,39.5093298,43.0070658,46.5125058,50.0258445,53.5468528,57.0759413,60.6157191
Albania,96.8872616,96.9005634,96.9274404,96.9543871,96.9815458,97.0088205,97.0363012,97.0638461,97.0915582,97.0553499,97.0205309,96.8472511,96.657365,96.4610692,96.2583616,96.0489528,95.8329307,95.6102301,95.3807714,95.1444582,94.9013259,94.6514104
Algeria,93.8844386,93.9796827,94.074882,94.1696001,93.4994544,92.8226341,92.139242,91.448931,90.7528432,90.0950729,89.4262124,88.7458172,88.0544044,87.3518987,86.6385276,85.9140606,85.1790165,84.4334518,83.6776507,83.7393629,83.7981355,83.853961
American Samoa,93.9981297,94.6593116,95.3210603,95.984331,96.6464296,97.309095,97.9703531,98.6322355,99.295004,99.9576473,100,100,100,100,100,100,100,100,100,100,100,100
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,42.3740297,42.3951531,42.4165971,42.4382527,43.0104931,43.3659105,43.7552825,44.1785514,44.636084,45.12787,45.6541269,46.2142635,46.8087383,47.4372182,48.0956994,48.7823868,49.4962425,50.235958,51.0002182,51.7877146,52.5971297,53.427175
Anguilla,NA,NA,NA,NA,NA,93.3503315,93.3539259,93.3522062,93.3467164,93.3532208,93.4495844,93.5467038,93.6515871,93.7519923,93.846977,93.9516723,94.0533981,94.149934,94.2525616,94.3473929,94.4524027,94.5477788
Antigua and Barbuda,97.4422044,97.466297,97.4922416,97.5167847,97.5409223,97.5670872,97.5911994,97.6162164,97.6411915,97.6666447,97.6910992,97.7161624,97.7418113,97.7666552,97.7920761,97.8168645,97.8411338,97.8669925,97.8671977,97.8667912,97.8672078,97.8663572
Argentina,93.4527386,93.8146007,94.1626754,94.5007031,94.8293469,95.1487785,95.4593792,95.7611647,96.0546835,96.3401167,96.6177985,96.8877985,97.1505661,97.4053381,97.6526715,97.8930836,98.1270684,98.3550805,98.5775551,98.7948996,99.0074971,99.215706
Armenia,NA,NA,90.6508519,90.5887865,90.5263878,90.4637449,90.400749,90.9277232,91.4624195,92.0049155,92.5552437,93.113598,93.7053648,94.3087755,94.913133,95.5184911,96.1247868,96.7320402,97.3402505,97.9500995,98.5608356,99.171805
Aruba,90.9762338,91.2997741,91.623466,91.9460405,92.2696126,92.5936531,92.9167319,93.2398633,93.5630622,93.8863888,94.2107654,94.5335253,94.8570764,95.1803871,95.5041092,95.8275575,96.1513372,96.474934,96.7979455,97.1213372,97.4452962,97.7686539
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,69.8803554,69.7619675,69.6433284,69.5249121,70.1126962,70.7089225,71.3134599,71.9267442,72.5483622,73.2438547,74.0264709,74.8034051,75.5748617,76.3407882,77.1012379,77.8560235,78.6053422,79.3491155,80.0874145,80.1229325,80.160437,80.1998985
Bahamas,NA,NA,NA,NA,96.0000145,95.9999857,96.0000282,95.9998886,95.9999449,95.9998367,96.0000134,96.0000796,96.0000131,96.0000129,95.9998602,96.0001002,95.9998889,96.0001338,96.0001319,96.0000946,96.0000233,96.0000115
Bahrain,94.8542375,94.8543967,94.8542994,94.8542533,95.4271642,95.9999571,96.5728787,97.1456324,97.7185609,98.2913851,98.8641367,99.4370516,100,100,100,100,100,100,100,100,100,100
Bangladesh,76.1840343,76.2426248,76.2889867,76.6868829,77.0815281,77.4727861,77.8606397,78.2448441,78.625497,79.0024664,79.3757267,79.7450618,80.1108212,80.472835,80.8309759,81.1851149,81.5351215,81.8808621,82.2222008,82.5590018,82.8911235,83.2184257
Barbados,95.4000177,95.7699413,96.1399424,96.5099185,96.8801045,97.2499772,97.6199397,97.9901014,98.3601626,98.729935,99.0998501,99.4701557,99.8400375,99.8400083,99.8399686,99.8399278,99.839889,99.8398486,99.8401793,99.8401467,99.8401206,99.8401022
Belarus,99.6677486,99.6696492,99.671534,99.6734016,99.6752687,99.6771145,99.6789549,99.6807842,99.6825962,99.684611,99.6869796,99.6893148,99.6916308,99.6939179,99.6961946,99.6984357,99.7006696,99.7028647,99.705052,99.7072026,99.7093301,99.7113953
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,72.6515315,73.8579341,75.122379,76.3851088,77.6468226,78.9070904,80.1654572,81.4227821,82.6786381,83.9334727,85.1807498,86.3957721,87.6193051,88.8517637,90.0922304,91.3414274,92.5991604,93.8653948,95.1399727,96.4230283,97.7145754,98.5977957
Benin,57.0955537,58.0939252,59.0456773,59.9333303,60.8190576,61.7027429,62.584445,63.4638774,64.341314,65.2166309,66.0898983,66.9608442,67.8516745,68.7760434,69.6965052,70.6125044,71.5244737,72.4321618,73.335659,74.2344571,75.1289394,76.0188824
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
Bhutan,NA,NA,NA,NA,NA,NA,NA,85.5935573,85.7607765,85.9331589,86.1105762,86.2924921,87.5207913,88.7242946,89.9019303,91.0473795,92.1224994,93.1788708,94.2159766,95.2333378,96.2306802,97.2076498
Bolivia,68.5751454,69.856354,71.0980148,72.1557972,73.1977909,74.2236202,75.1822884,76.1276973,77.0607122,77.9811083,78.88917,79.7842063,80.6670183,81.53627,82.3921673,83.2349094,84.0647128,84.8817937,85.6863766,86.4786619,87.2588697,88.0272198
Bosnia and Herzegovina,97.2549073,97.2660154,97.277439,97.2891562,97.3011803,97.3135244,97.3261715,97.3391498,97.3524007,97.5014702,97.6494288,97.7962688,97.9419383,98.0864019,98.2295778,98.371463,98.5119743,98.6510574,98.7887119,98.7970326,98.8055261,98.8141712
