Child Mortality (CHMORT) - Probability of dying in children between the exact ages of 1 and 5 (probability),,,,,,,,,,,,,,,,,,,,,,,
"Source: United Nations, Department of Economic and Social Affairs, Population Division. (2012). World Population Prospects DEMOBASE",,,,,,,,,,,,,,,,,,,,,,,
Notes: NA = Not Applicable,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,0.071326216,0.067619858,0.064090262,0.060782459,0.057738862,0.055006546,0.052612162,0.050519768,0.048677043,0.047040265,0.045544198,0.044115004,0.042692177,0.041227542,0.039696251,0.038093184,0.036437494,0.034778315,0.033161053,0.031606172,0.030130795,0.028743393,0.027439327
Albania,0.007356209,0.007017163,0.006655276,0.006274989,0.005886695,0.005517775,0.005201254,0.004955566,0.004780938,0.004665053,0.004564204,0.004421158,0.004192708,0.003859388,0.00342702,0.002929384,0.002422178,0.001967239,0.001608706,0.001362139,0.001226528,0.001180173,0.001181623
Algeria,0.014287635,0.013592347,0.013013307,0.012489945,0.011974365,0.011436918,0.010879592,0.010336852,0.009834524,0.009368636,0.008933082,0.008521555,0.008127634,0.007749432,0.007386577,0.007046326,0.006737401,0.006466464,0.006235388,0.006044233,0.00588512,0.00574994,0.005629439
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,0.122872619,0.122285489,0.121462831,0.120314913,0.118763114,0.116686196,0.11397582,0.110666454,0.106856955,0.10267111,0.09828472,0.093897383,0.089696952,0.085832659,0.082394078,0.079431593,0.076932976,0.074775109,0.072845826,0.071089063,0.069447848,0.067871205,0.066328851
Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,0.004826917,0.004641084,0.004464815,0.004296457,0.004136489,0.003982957,0.003835671,0.003694809,0.003560007,0.003430246,0.003304049,0.003182315,0.003063665,0.002949363,0.002838822,0.002733768,0.002635012,0.0025438,0.002459405,0.002382074,0.002310138,0.002242736,0.00217771
Argentina,0.004477179,0.00426148,0.00401877,0.003763219,0.003506484,0.003262115,0.003044458,0.002864171,0.002725207,0.002627983,0.002567374,0.002534031,0.002513703,0.002492874,0.002466223,0.002428189,0.002378631,0.002322565,0.002264822,0.002205069,0.002143307,0.002082999,0.002022029
Armenia,0.00938461,0.009331435,0.009070458,0.008639176,0.008069546,0.007400923,0.006681106,0.005958416,0.005279134,0.004675564,0.004172082,0.003776048,0.003466676,0.003223412,0.003039421,0.002906519,0.002815463,0.002753625,0.002709007,0.00267318,0.002637406,0.002598989,0.00256025
Aruba,0.003364771,0.003339165,0.003315205,0.003294207,0.003277878,0.003262101,0.003249163,0.003235242,0.003219029,0.003198605,0.003169813,0.003130798,0.003079513,0.003018836,0.002948679,0.00287284,0.002797276,0.002725777,0.002661009,0.002606501,0.002562245,0.002525977,0.002495761
Australia,0.00164079,0.001584392,0.001530765,0.001482597,0.001437427,0.001393702,0.001351106,0.00130628,0.001260079,0.001210118,0.001158539,0.001106764,0.001055891,0.001006999,0.000962888,0.000922123,0.000887141,0.000856657,0.000828912,0.000805663,0.000784146,0.000765748,0.000748371
Austria,0.001607069,0.001556462,0.001507268,0.001455051,0.001399353,0.001337932,0.00127307,0.001204414,0.001137001,0.001071556,0.00101016,0.000957623,0.00091252,0.000877165,0.000849879,0.000829192,0.000812517,0.000796004,0.000778444,0.000757464,0.000734346,0.000708897,0.000683837
Azerbaijan,0.02363362,0.022303234,0.02148739,0.02121284,0.021401988,0.021783952,0.02198598,0.021687746,0.020707892,0.019040348,0.016824743,0.014321829,0.011892984,0.009827998,0.008254654,0.007238445,0.006751474,0.006619506,0.006682066,0.006864485,0.007088908,0.007293398,0.007454432
Bahamas,0.008239041,0.008051804,0.007899406,0.007778168,0.007676959,0.007579789,0.007468496,0.007328694,0.007151434,0.006937241,0.00669028,0.006419937,0.006145563,0.005881072,0.005635058,0.005413031,0.005215784,0.005038947,0.004876212,0.004726545,0.004587521,0.00445582,0.004330364
Bahrain,0.003226229,0.003397188,0.003463498,0.003404716,0.003220523,0.00293608,0.002600623,0.002282109,0.002033556,0.001875608,0.001822352,0.001866913,0.001975599,0.002114761,0.002264822,0.002406562,0.002521216,0.00260253,0.002646076,0.002647529,0.002610728,0.00254399,0.002462336
Bangladesh,0.046420832,0.044079827,0.041738327,0.039383286,0.037017242,0.034656696,0.032325252,0.030055229,0.027880086,0.025815868,0.023871315,0.022042812,0.020320613,0.018699966,0.017189095,0.015803016,0.014559451,0.013466679,0.012520239,0.011708426,0.01101699,0.010421899,0.009896541
Barbados,0.004908259,0.004643134,0.004392995,0.004156121,0.003931918,0.003719468,0.003518663,0.003329743,0.003150307,0.002980261,0.002819327,0.002666336,0.002519793,0.002381615,0.002251425,0.002128967,0.002016736,0.00191583,0.001823706,0.001742316,0.001668741,0.001600962,0.001538121
Belarus,0.003266568,0.003221913,0.003190902,0.003177502,0.003178013,0.003185629,0.003187888,0.003172404,0.003131953,0.003062613,0.002962338,0.002830981,0.002679915,0.002517466,0.002353506,0.002196317,0.002056802,0.001938731,0.001845967,0.001778073,0.001732447,0.001704956,0.001684881
Belgium,0.001474082,0.001431051,0.00139432,0.001355642,0.001316826,0.00127569,0.001235599,0.001201278,0.001172767,0.001150514,0.001132647,0.001114535,0.001095156,0.001070679,0.001041168,0.0010068,0.000969493,0.000932375,0.000895829,0.000861931,0.0008311,0.000802837,0.000777169
Belize,0.007722051,0.007424953,0.007103151,0.006754513,0.006378908,0.005980004,0.005570032,0.005166394,0.004786789,0.004438521,0.00413157,0.003870283,0.003649645,0.00346642,0.003314225,0.003189505,0.00308568,0.002994738,0.002911498,0.002830118,0.002747643,0.002664888,0.002583089
Benin,0.07888429,0.076677662,0.074459817,0.072249484,0.07006008,0.067903609,0.065790602,0.063723423,0.061709607,0.059755304,0.05785541,0.055994644,0.054173563,0.052399265,0.050694281,0.049097616,0.04765449,0.046391504,0.045317034,0.044424444,0.043690116,0.043078234,0.042537205
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,0.060256039,0.057378317,0.054573008,0.051854413,0.049230145,0.046709007,0.044293319,0.041981091,0.039770369,0.037660266,0.035650421,0.033735778,0.031911108,0.030170633,0.028513688,0.026939486,0.025449631,0.024045502,0.022725608,0.021486946,0.020325758,0.019237808,0.018216707
Bolivia,0.032156101,0.029393765,0.027010506,0.025009626,0.023369268,0.02205293,0.020999909,0.02013315,0.019384323,0.018707117,0.018085845,0.017526195,0.017050622,0.016664588,0.016347443,0.01606715,0.015792497,0.01550026,0.015172939,0.01479834,0.014375222,0.013914111,0.013437337
Bosnia and Herzegovina,0.002881615,0.002733272,0.002590243,0.002446079,0.002302243,0.002167239,0.002053111,0.001965818,0.001911096,0.001884285,0.001878664,0.001882402,0.001883469,0.001871423,0.001842373,0.001797352,0.001737243,0.001673556,0.001610419,0.001552826,0.001499823,0.001453259,0.001409233
Botswana,0.016729625,0.016325982,0.016166079,0.016234208,0.016497789,0.016922269,0.017465153,0.018048898,0.01858862,0.019005938,0.01919586,0.019068481,0.018612775,0.017854665,0.016833488,0.015631284,0.014355956,0.013122657,0.012021946,0.011098915,0.010364918,0.00979478,0.009316218
Brazil,0.013124852,0.012718179,0.012189098,0.011587321,0.010929362,0.010236241,0.009539646,0.008869865,0.008256793,0.00771598,0.007262517,0.006900303,0.00661133,0.006379385,0.006192898,0.006036858,0.005898627,0.005766263,0.005628992,0.005480513,0.005316878,0.005139923,0.004957471
British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,0.002837858,0.002660306,0.002493528,0.002338517,0.002192057,0.002054794,0.00192637,0.001805946,0.001692975,0.001587004,0.001487509,0.001394531,0.001306481,0.001223996,0.001147551,0.001075744,0.001009311,0.000947622,0.00089117,0.00083854,0.000791046,0.000745295,0.000702687
Bulgaria,0.003836593,0.003865201,0.003916002,0.003972646,0.004023456,0.004048398,0.004027154,0.003950743,0.003815433,0.003627012,0.003394639,0.003135968,0.002875467,0.00263242,0.002418349,0.002243426,0.002108341,0.00200425,0.001923553,0.001862219,0.001816425,0.001783024,0.00175498
Burkina Faso,0.113454412,0.112580079,0.111497573,0.110150013,0.108510398,0.106595701,0.10447069,0.102256853,0.100057014,0.097922326,0.09589656,0.093997231,0.092193536,0.090451733,0.088750394,0.087051342,0.085311766,0.083500391,0.081600487,0.079612325,0.077547809,0.0754325,0.073308436
Burundi,0.08965459,0.090854732,0.091177204,0.09037112,0.088415191,0.085502602,0.082012025,0.078473842,0.075301907,0.072676518,0.07067408,0.069239531,0.068140198,0.06717612,0.066274647,0.065376329,0.0644476,0.063490326,0.062505971,0.061474938,0.060385769,0.059239265,0.058053651
Cambodia,0.033391929,0.03285308,0.032236422,0.03169872,0.03114345,0.030479902,0.029651977,0.028668902,0.027546115,0.026280327,0.024870063,0.023328153,0.021705004,0.020062523,0.018448686,0.016924903,0.015547258,0.014340719,0.013319949,0.012489361,0.011836405,0.011331993,0.010923182
Cameroon,0.061294871,0.060514909,0.059797944,0.059159614,0.058598678,0.058114052,0.057708576,0.057365546,0.057063216,0.056779981,0.056498006,0.056204104,0.055879772,0.055501081,0.055039351,0.05445385,0.053708541,0.05279679,0.051724055,0.050500841,0.04914968,0.047701209,0.046198361
Canada,0.001484931,0.001413214,0.001347023,0.001286915,0.001234926,0.001189401,0.001148062,0.001109076,0.001070363,0.001031787,0.000992722,0.000955879,0.000922394,0.000892988,0.000866793,0.000844964,0.000824859,0.000805355,0.000785728,0.000764154,0.000742454,0.000721298,0.000700317
Cape Verde,0.013265112,0.012611867,0.012019966,0.011447089,0.010867533,0.010266966,0.009646319,0.009026745,0.008426729,0.007850178,0.007298348,0.006775861,0.006281201,0.005816714,0.005382859,0.004983067,0.004619314,0.004290674,0.003994826,0.003730191,0.003491367,0.00327807,0.003083917
Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,0.080948987,0.081151261,0.08130915,0.081418422,0.081462235,0.081440137,0.08136948,0.081266146,0.081136654,0.080962975,0.08073305,0.080432379,0.080029966,0.079492122,0.078783358,0.077843576,0.076609271,0.075076403,0.073266549,0.071222373,0.069016095,0.066734348,0.064465872
Chad,0.093013646,0.092021861,0.091005484,0.089926898,0.088781393,0.087584296,0.08637508,0.08519895,0.084089957,0.08305462,0.082101755,0.081230861,0.080410902,0.07959581,0.078744138,0.077794237,0.076679488,0.075372498,0.073866105,0.072174743,0.070332733,0.068399841,0.066446086
Chile,0.003100921,0.002971973,0.002849383,0.00274091,0.002643125,0.002550821,0.002458006,0.002360512,0.002255762,0.002144361,0.002031653,0.001925321,0.00183124,0.001753815,0.001694359,0.001648847,0.001613632,0.001580377,0.001544817,0.001503293,0.001455142,0.001403104,0.001349138
China,0.011801869,0.011046117,0.010352839,0.009714842,0.009116039,0.008524054,0.007905262,0.007243459,0.006540346,0.005804947,0.0050707,0.004375057,0.003764024,0.003267789,0.002901462,0.002678851,0.002597419,0.002628424,0.002735644,0.002891346,0.003060289,0.003208277,0.003314751
Colombia,0.011927852,0.011391076,0.010919454,0.010520083,0.01018955,0.009918124,0.00969178,0.009493438,0.009306617,0.009122653,0.008932727,0.008736095,0.008539562,0.008344586,0.008150381,0.007957856,0.007765088,0.007571776,0.007378232,0.007185186,0.006990289,0.006793813,0.006595504
Comoros,0.042976474,0.042183322,0.041438077,0.040707361,0.039972969,0.039223725,0.038459346,0.03769391,0.036936482,0.036186874,0.035444632,0.034707237,0.033972178,0.033242282,0.03251609,0.031795214,0.03108302,0.03038197,0.029692367,0.029017499,0.028358775,0.027714777,0.027085319
Congo,0.046617059,0.046800333,0.047112587,0.047516514,0.047979577,0.048476107,0.04899213,0.049499936,0.049956782,0.050310918,0.050497219,0.050454999,0.050162781,0.049611835,0.048800526,0.047737547,0.046442664,0.044976009,0.043405105,0.041781255,0.040159118,0.038578471,0.037059224
Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,0.002702467,0.002624967,0.002557828,0.002493718,0.002427095,0.002354833,0.002275435,0.002196123,0.002122161,0.002052763,0.001989663,0.001933592,0.001882783,0.001836995,0.001795737,0.001755821,0.001717635,0.001677995,0.001638354,0.001596576,0.001553466,0.001509593,0.001466357
Cote d'Ivoire,0.052104567,0.05164406,0.051188016,0.05072338,0.050230634,0.049696294,0.04911212,0.048482035,0.047810845,0.047093883,0.046328229,0.045511596,0.04464774,0.04374432,0.04281072,0.041852375,0.040877509,0.039895654,0.038916793,0.037952427,0.03701334,0.036108453,0.035237292
Croatia,0.001820388,0.001748107,0.001668751,0.00157906,0.001481213,0.001379111,0.001282214,0.001198576,0.001135147,0.001092188,0.001069209,0.00106243,0.001065517,0.001071445,0.00107606,0.001078884,0.001077753,0.00107438,0.001069855,0.00106329,0.001054757,0.001043289,0.001029123
Cuba,0.004096003,0.004083502,0.004001237,0.003844488,0.003616997,0.003334419,0.00301912,0.00270169,0.002407298,0.002150969,0.001943525,0.00178602,0.001666171,0.001573152,0.00150122,0.001446884,0.00140604,0.001372819,0.001343892,0.001316326,0.001286569,0.001256588,0.001226561
Cyprus,0.001993073,0.001896502,0.001804462,0.001717721,0.001634257,0.001554681,0.00147926,0.001406447,0.001338168,0.001271674,0.001209401,0.00114886,0.00109049,0.001035692,0.000984391,0.000936039,0.000892283,0.000853133,0.000818511,0.00078908,0.000763064,0.0007394,0.000718375
Czech Republic,0.001774405,0.001742679,0.001704466,0.001658977,0.001603112,0.001539278,0.001467144,0.00139266,0.001317136,0.001242709,0.001171667,0.001102755,0.001036447,0.00097259,0.000911922,0.000856793,0.000807184,0.000763886,0.000726611,0.000696004,0.000671541,0.000651634,0.00063571
Dem. Rep. Congo,0.09252478,0.09269021,0.093376581,0.094551078,0.096095121,0.097737081,0.099127073,0.09997734,0.100104976,0.09947219,0.098189684,0.096491929,0.094700826,0.093062394,0.091660285,0.090492961,0.089470312,0.088424637,0.087236336,0.085883015,0.084377878,0.082763339,0.081117811
Denmark,0.001596219,0.001528215,0.001458939,0.001392667,0.001332188,0.001276438,0.001228249,0.00118513,0.001142974,0.00110375,0.001063525,0.001020499,0.00097489,0.0009258,0.000874219,0.000822601,0.000774624,0.000731481,0.000694313,0.000666558,0.00064458,0.00063051,0.00061925
Djibouti,0.0498315,0.048847196,0.047892059,0.046975919,0.046100155,0.045269563,0.044489413,0.043756237,0.04306092,0.042394534,0.041753,0.041132379,0.040521298,0.039900913,0.039246072,0.038520493,0.037683991,0.036723121,0.035642093,0.034450947,0.033181319,0.031873492,0.030574578
Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,0.008163993,0.007853008,0.007519346,0.007168327,0.00679327,0.00639268,0.005968162,0.005532997,0.00510531,0.004697157,0.004326835,0.004012253,0.00376042,0.00357192,0.00344294,0.00336288,0.003317352,0.00328598,0.003252031,0.003206125,0.003144601,0.003068944,0.002987091
Ecuador,0.016163629,0.014970473,0.013824507,0.012719745,0.011654564,0.010628914,0.009647295,0.008720809,0.007863043,0.007084885,0.006409217,0.005859779,0.005438544,0.005139542,0.004947373,0.004836273,0.004774448,0.004726476,0.004664664,0.004573755,0.004448381,0.004293642,0.004129647
Egypt,0.025582972,0.023912263,0.022253037,0.020524599,0.018720481,0.016888552,0.015123969,0.013537682,0.012200312,0.01112664,0.010296389,0.009662981,0.009144234,0.008673465,0.008220419,0.007770019,0.007326294,0.006913561,0.006545723,0.006219114,0.005929004,0.005667865,0.00542739
El Salvador,0.016550159,0.014143255,0.012315382,0.011006289,0.010164344,0.009690938,0.009455241,0.009309626,0.009133904,0.00885645,0.008444367,0.007910595,0.007331026,0.006769959,0.006245312,0.005777091,0.005378964,0.005048052,0.004779015,0.004568278,0.004406187,0.004281153,0.004177705
